Set: HSR
Name || Mana Cost || Type || Rarity || Rules Text || Flavor Text || Power || Toughness || Loyalty || Illustrator || Card Number || Notes || [BACK FACE] || Name 2 || Mana Cost 2 || Type 2 || Rules Text 2 || Flavor Text 2 || Power 2 || Toughness 2 || Loyalty 2 || Illustrator 2 || Card Number 2 || Notes 2 || 
Crow Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Whenever an opponent would reveal a card, they reveal their entire hand instead.\n Equip 2 ||  ||  ||  ||  ||  || 14 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 14 ||  || 
Fin Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n \n Equip 2 || Pearl ||  ||  ||  ||  || 15 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 15 ||  || 
Fox Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Equipped creature has “Whenever this creature deals noncombat damage to a creature, it deals that much damage to that creature’s controller.”\n Equip 2 ||  ||  ||  ||  ||  || 16 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 16 ||  || 
Octopus Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Other creatures you control gain indestructible and are Goaded.\n Equip 2 ||  ||  ||  ||  ||  || 17 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 17 ||  || 
Rabbit Mask || 3 || Legendary Artifact — Equipment  || common || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Goaded creatures get +2/+2 as long as they are attacking a player other than this creature’s controller.\n Equip 2 ||  ||  ||  ||  ||  || 18 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 18 ||  || 
Racoon Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Creatures you control gain Punchline 1 if they do not already have Punchline.\n Equip 2 ||  ||  ||  ||  ||  || 19 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 19 ||  || 
Wolf Mask || 3 || Legendary Artifact — Equipment  || uncommon || Equipped creature gains Punchline 2. If it already has Punchline, increase its Punchline value by 2 instead.\n Equipped creature has all keyword abilities of creatures exiled by it.\n Equip 2 ||  ||  ||  ||  ||  || 20 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 20 ||  || 
Evanescia, Overseer || 2RR || Legendary Creature — Elation  || rare || Punchline 1\n R: Deal 3 damage to target creature and increase Certified Banger by 2. You may activate this for every 20 Certified Banger per turn. ||  || 3 || 2 ||  || Hoyoverse || 22 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 22 ||  || 
Silver Wolf, Lvl 999 || 1UBR || Legendary Creature — Elation  || rare || Punchline 2\n Silver Wolf, Lvl 999’s power and toughness are each equal to Certified Banger divided by 10 plus 1 ||  || * || * ||  || Hoyoverse || 23 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 23 ||  || 
Sparxie, Queen of Arcadia || 2UR || Legendary Creature — Elation  || uncommon || Whenever this creature deals combat damage to a creature, that creature becomes goaded and gains ‘Punchline 1’ (Whenever this creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 1) ||  || 3 || 3 ||  || Hoyoverse || 24 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 24 ||  || 
Yao Guang, Seer Strategist || 1UR || Legendary Creature — Elation  || uncommon || Punchline 1 (Whenever this creature becomes the target of a spell or ability, or deals combat damage to a player, increase Certified Banger by 1)\n If Certified Banger would increase, it increases by an additional 1 instead. ||  || 1 || 2 ||  || Hoyoverse || 25 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 25 ||  || 
