Set: KNY
Name || Mana Cost || Type || Rarity || Rules Text || Flavor Text || Power || Toughness || Loyalty || Illustrator || Card Number || Notes || [BACK FACE] || Name 2 || Mana Cost 2 || Type 2 || Rules Text 2 || Flavor Text 2 || Power 2 || Toughness 2 || Loyalty 2 || Illustrator 2 || Card Number 2 || Notes 2 || 
Hashiras Unite! || WUBRG || Legendary Enchantment || mythic rare || At the beginning of your upkeep, if you control eight Hashira creatures that aren’t Shapeshifters, you win the game. Otherwise draw a card for each Hashira you control that isn’t a Shapeshifter.\n This card can be your commander. ||  ||  ||  ||  || Ufotable || 6 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 6 ||  || 
Zenitsu Agatsuma || 2BR || Legendary Creature — Human Slayer  || masterpiece || Thunder Breathing\n This creature can only attack or block if it is tapped. || “If you can only do one thing, hone it to perfection. Hone it to the utmost limit.” || 7 || 3 ||  || Koyoharu Gotouge || 6 ||  ||  ||  ||  || masterpiece ||  ||  ||  ||  ||  ||  || 6 ||  || 
Insosuke Hashibira || 3RG || Legendary Creature — Human Slayer  || rare || Beast Breathing (Whenever This creature attacks, you may pay 1. If you do, it fights up to one target creature.)\n Inosuke’s power is equal to the greatest power amongst creatures you control.\n Inosuke’s toughness is equal to the greatest power amongst creatures you control. ||  || * || * ||  || Ufotable || 7 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 7 ||  || 
Kanae Tsuyuri || GW || Legendary Creature — Hashira   || common || Flower Breathing (Whenever This creature attacks, you may pay 1. If you do, scry 2, then this creature gains lifelink until end of turn.) ||  ||  ||  ||  ||  || 8 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 8 ||  || 
Kanao Tsuyuri || 2GW || Legendary Creature — Human Slayer  || uncommon || Flower Breathing (Whenever This creature attacks, you may pay 1. If you do, scry 2, then this creature gains lifelink until end of turn.)\n T: Flip a coin, if heads double this creature’s power until end of turn. ||  || 3 || 2 ||  || Ufotable || 9 ||  ||  ||  ||  || uncommon ||  ||  ||  ||  ||  ||  || 9 ||  || 
Kyojuro Rengoku || RW || Legendary Creature — Hashira  || common || Flame Breathing (Whenever This creature attacks, you may pay 1. If you do, it gets +2/+0 and deals 1 damage to any target.) ||  ||  ||  ||  ||  || 10 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 10 ||  || 
Mitsuri Kanroji || RW || Legendary Creature — Hashira  || common || Love Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, it gets +1/+1 for each other attacking creature and gains lifelink until end of turn.) ||  ||  ||  ||  ||  || 11 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 11 ||  || 
Muichiro Tokito || UB || Legendary Creature — Hashira  || common || Mist Breathing (Whenever This creature attacks, you may pay 2. If you do, it can’t be blocked this turn.) ||  ||  ||  ||  ||  || 12 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 12 ||  || 
Murata || WU || Legendary Creature — Human Slayer  || common || Water Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, tap or untap target creature.) ||  ||  ||  ||  ||  || 13 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 13 ||  || 
Obanai Iguro || UB || Legendary Creature — Hashira  || common || Snake Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, it can’t be blocked by more than one creature this turn.) ||  ||  ||  ||  ||  || 14 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 14 ||  || 
Sanemi Shinazugawa || BG || Legendary Creature — Hashira  || common ||  ||  ||  ||  ||  ||  || 15 ||  ||  ||  ||  || common ||  ||  ||  ||  ||  ||  || 15 ||  || 
Shinobu Kocho, Insect Hashira || 1BG || Legendary Creature — Hashira  || rare || Insect Breathing (Whenever This creature deals combat damage to a player, you may pay 1. If you do, put a -1/-1 counter on up to one target creature and you gain 1 life.)\n At the beginning of your end step, remove all -1/-1 counters from creatures you control. ||  || 0 || 3 ||  || Ufotable || 16 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 16 ||  || 
Tanjiro, Mark Awakened || 2RW || Legendary Creature — Hashira  || mythic rare || Sun Breathing (Whenever This creature attacks, you may pay 2. If you do, double its power until end of turn and it gains trample.)\n Abilities of other Hashira creatures you control cost {0} to activate. ||  || 3 || 4 ||  || Ufotable || 17 ||  ||  ||  ||  || mythic rare ||  ||  ||  ||  ||  ||  || 17 ||  || 
Tengen Uzui || 2RW || Legendary Creature — Hashira  || rare || Sound Breathing (Whenever This creature attacks or blocks, you may pay 1. If you do, it deals 1 damage to each creature defending player controls. If three or more creatures were dealt damage this way, untap this creature.)\n The first time this creature dies this game, exile it instead and return it to the battlefield at the beginning of your next upkeep. ||  || 4 || 3 ||  || Ufotable || 18 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 18 ||  || 
Zenitsu Agatsuma || 2BR || Legendary Creature — Human Slayer  || rare || Thunder Breathing (Whenever This creature attacks, you may pay 1. If you do, it gains first strike and can’t be blocked by creatures with toughness greater than it this turn.)\n This creature can only attack or block if it is tapped. ||  || 7 || 3 ||  || Ufotable || 19 ||  ||  ||  ||  || rare ||  ||  ||  ||  ||  ||  || 19 ||  || 
